teamID,teamMultiID,teamName,category,topPlayerIDTrait,junglePlayerIDTrait,midPlayerIDTrait,adPlayerIDTrait,supPlayerIDTrait,managerSet,match,win,rateVsPoint
1000209,,진에어,19MK,13081000000000.0,13082000000000.0,13083000000000.0,13084000000000.0,13085000000000.0,100411111,0,0,0
1000300,IvF5OGX2EgTfdZfaB711NaG5eSq1,개집,19RANK,11041200000000.0,11042200000000.0,11043200000000.0,11044200000000.0,11045200000000.0,10400000,4657,2946,377087
1000301,wbzG5E0NmlhbCBjXvjsaBnDTTfu1,눈썹미아,19RANK,20216200000000.0,20217200000000.0,20218200000000.0,20219200000000.0,20220200000000.0,312400000,12294,12203,375152
1000302,hreN8lQkAdSJdFzCGaAcON98OVn2,순얼해자,19RANK,20216200000000.0,20217200000000.0,20218200000000.0,20219200000000.0,20220200000000.0,320122212,5673,5589,357712
1000303,vJxI4mQPicPJ22bWvzK5RBsMrXr1,킹스레옹,19RANK,11041200000000.0,11042200000000.0,20301200000000.0,13044200000000.0,11045200000000.0,320122212,811,633,330364
1000304,fcoCSI4gkqhPurGKbO236pPgKf32,양양,19RANK,20216100000000.0,20217100000000.0,20218100000000.0,20219100000000.0,20220100000000.0,320122212,2024,1900,303540
1000305,cbxPxA9iNgXtd8PXsIBEHuhaY4G2,울산화암고,19RANK,20216100000000.0,20217100000000.0,20218100000000.0,20219100000000.0,20220100000000.0,320122122,820,628,299385
1000306,GpBc6ahMqeONMQA4JCMmwQtXssg1,IG,19RANK,11031100000000.0,11032100000000.0,11033100000000.0,11034100000000.0,11035100000000.0,320122222,531,292,288645
1000307,QQfwxBwIMjhgLtXIORYimHttdH73,딱딱이,19RANK,11031200000000.0,11032200000000.0,11033200000000.0,11034200000000.0,11035200000000.0,320122222,371,349,284342
1000308,diJ115rebwZ7TtgG529rgDbf8Hq1,양양,19RANK,20216100000000.0,20217100000000.0,13073100000000.0,20219100000000.0,20220100000000.0,320401222,766,455,283335
1000309,OjDUzFGgfsdSurs7x3pSk7nD0zG2,SKTT1,19RANK,20216100000000.0,20217100000000.0,20218100000000.0,20219100000000.0,20220100000000.0,10400000,916,772,275193
1000400,,KT,20SK,10071000000000.0,10072000000000.0,10073000000000.0,20403000000000.0,10075000000000.0,100411111,0,0,0
1000401,,아프리카,20SK,10001000000000.0,10002000000000.0,10003000000000.0,10004000000000.0,10005000000000.0,100411111,0,0,0
1000402,,그리핀,20SK,10051000000000.0,10052000000000.0,10053000000000.0,10054000000000.0,10055000000000.0,100411111,0,0,0
1000403,,드래곤X,20SK,10031000000000.0,10032000000000.0,10033000000000.0,10034000000000.0,10035000000000.0,100411111,0,0,0
1000404,,젠지,20SK,10041000000000.0,20401000000000.0,20402000000000.0,10044000000000.0,10045000000000.0,100411111,0,0,0
1000405,,한화,20SK,10061000000000.0,10062000000000.0,10063000000000.0,10064000000000.0,10065000000000.0,100411111,0,0,0
1000406,,SKT,20SK,20500000000000.0,20501000000000.0,20502000000000.0,20503000000000.0,20504000000000.0,100411111,0,0,0
1000407,,APK,20SK,10011000000000.0,10012000000000.0,10013000000000.0,10014000000000.0,10015000000000.0,100411111,0,0,0
1000408,,담원,20SK,20400000000000.0,10022000000000.0,10023000000000.0,10024000000000.0,10025000000000.0,100411111,0,0,0
1000409,,샌드박스,20SK,10081000000000.0,10082000000000.0,10083000000000.0,10084000000000.0,10085000000000.0,100411111,0,0,0
1000500,,Excel,20SE,10101000000000.0,10102000000000.0,10103000000000.0,10104000000000.0,10105000000000.0,100411111,0,0,0
1000501,,Schalke,20SE,10111000000000.0,10112000000000.0,10113000000000.0,10114000000000.0,10115000000000.0,100411111,0,0,0
1000502,,Fnatic,20SE,10121000000000.0,10122000000000.0,10123000000000.0,10124000000000.0,20409000000000.0,100411111,0,0,0
1000503,,G2,20SE,20505000000000.0,20506000000000.0,20507000000000.0,20508000000000.0,20509000000000.0,100411111,0,0,0
1000504,,MAD,20SE,10141000000000.0,10142000000000.0,10143000000000.0,10144000000000.0,10145000000000.0,100411111,0,0,0
1000505,,Misfits,20SE,10151000000000.0,10152000000000.0,10153000000000.0,10154000000000.0,10155000000000.0,100411111,0,0,0
1000506,,Origen,20SE,20406000000000.0,10162000000000.0,10163000000000.0,10164000000000.0,10165000000000.0,100411111,0,0,0
1000507,,Rogue,20SE,10171000000000.0,10172000000000.0,10173000000000.0,10174000000000.0,10175000000000.0,100411111,0,0,0
1000508,,SK,20SE,10181000000000.0,10182000000000.0,10183000000000.0,10184000000000.0,10185000000000.0,100411111,0,0,0
1000509,,Vitality,20SE,10191000000000.0,10192000000000.0,10193000000000.0,10194000000000.0,10195000000000.0,100411111,0,0,0
1000600,,100T,20SN,10201000000000.0,10202000000000.0,10203000000000.0,10204000000000.0,10205000000000.0,100411111,0,0,0
1000601,,CLG,20SN,10211000000000.0,10212000000000.0,10213000000000.0,10214000000000.0,10215000000000.0,100411111,0,0,0
1000602,,C9,20SN,20510000000000.0,20511000000000.0,20512000000000.0,20513000000000.0,20514000000000.0,100411111,0,0,0
1000603,,Dignitas,20SN,10231000000000.0,10232000000000.0,10233000000000.0,10234000000000.0,10235000000000.0,100411111,0,0,0
1000604,,EG,20SN,10241000000000.0,10242000000000.0,10243000000000.0,10244000000000.0,10245000000000.0,100411111,0,0,0
1000605,,FlyQuest,20SN,10251000000000.0,10252000000000.0,10253000000000.0,10254000000000.0,10255000000000.0,100411111,0,0,0
1000606,,GG,20SN,10261000000000.0,10262000000000.0,10263000000000.0,10264000000000.0,10265000000000.0,100411111,0,0,0
1000607,,IMT,20SN,10271000000000.0,10272000000000.0,10273000000000.0,10274000000000.0,10275000000000.0,100411111,0,0,0
1000608,,Liquid,20SN,10281000000000.0,10282000000000.0,10283000000000.0,10284000000000.0,10285000000000.0,100411111,0,0,0
1000609,,TSM,20SN,10291000000000.0,10292000000000.0,10293000000000.0,10294000000000.0,10295000000000.0,100411111,0,0,0
